Timestamp,body,@requestId,requestContext.requestId,ColdStartDurationInMS,DurationInMS,BilledDurationInMS,MemorySetInMB,MemoryUsedInMB
2023-04-11 04:51:40.144,,563093ac-a916-434f-bbe9-0e4d72254a6a,,,1.76,2.0,128,54
2023-04-11 04:51:40.146,dHBzPTEwJmludGVydmFsPTU=,,2606ffcf-ad08-4340-bb8c-7250b3da1e30,,,,,
2023-04-11 04:51:40.146,,b30c0067-9fd5-41b9-8d6a-a0b278f04f86,,,8.17,9.0,128,54
2023-04-11 04:51:40.165,dHBzPTEwJmludGVydmFsPTU=,,2987fe20-b785-4f0b-a08a-e18d963b0ad9,,,,,
2023-04-11 04:51:40.167,,2606ffcf-ad08-4340-bb8c-7250b3da1e30,,,24.29,25.0,128,53
2023-04-11 04:51:40.185,,2987fe20-b785-4f0b-a08a-e18d963b0ad9,,,21.6,22.0,128,54
2023-04-11 04:51:45.472,dHBzPTEwJmludGVydmFsPTU=,,2219f1b6-0260-4263-b31c-bcf56841d3cf,,,,,
2023-04-11 04:51:45.480,dHBzPTEwJmludGVydmFsPTU=,,3643f236-aae4-4dc4-947a-b9a265762468,,,,,
2023-04-11 04:51:45.482,dHBzPTEwJmludGVydmFsPTU=,,3a8067b2-bc8d-42b0-8cce-5558e0cc6d7f,,,,,
2023-04-11 04:51:45.484,,3a8067b2-bc8d-42b0-8cce-5558e0cc6d7f,,,2.51,3.0,128,54
2023-04-11 04:51:45.485,,2219f1b6-0260-4263-b31c-bcf56841d3cf,,,14.25,15.0,128,54
2023-04-11 04:51:45.491,dHBzPTEwJmludGVydmFsPTU=,,d8508013-135c-4fd0-bc62-ee20ee75a1dd,,,,,
2023-04-11 04:51:45.494,dHBzPTEwJmludGVydmFsPTU=,,3f97111c-49fb-47f2-bbc3-9c8647211df3,,,,,
2023-04-11 04:51:45.496,dHBzPTEwJmludGVydmFsPTU=,,b605f5e8-bbea-4f04-b80c-3640cf51a01a,,,,,
2023-04-11 04:51:45.497,dHBzPTEwJmludGVydmFsPTU=,,4c226c8d-0494-40cf-bf51-c3636e2c5ed9,,,,,
2023-04-11 04:51:45.499,,b605f5e8-bbea-4f04-b80c-3640cf51a01a,,,3.66,4.0,128,53
2023-04-11 04:51:45.504,,4c226c8d-0494-40cf-bf51-c3636e2c5ed9,,,8.21,9.0,128,54
2023-04-11 04:51:45.507,,3643f236-aae4-4dc4-947a-b9a265762468,,,26.99,27.0,128,53
2023-04-11 04:51:45.509,dHBzPTEwJmludGVydmFsPTU=,,dcc7f93f-212d-4cb6-88d7-c415b720f9f9,,,,,
2023-04-11 04:51:45.512,dHBzPTEwJmludGVydmFsPTU=,,ed6d6c70-8998-45f1-b861-6c1d8c5473f3,,,,,
2023-04-11 04:51:45.518,dHBzPTEwJmludGVydmFsPTU=,,ad1ea5db-ecc8-45a2-b537-8458361abeb9,,,,,
2023-04-11 04:51:45.524,,3f97111c-49fb-47f2-bbc3-9c8647211df3,,,30.3,31.0,128,54
2023-04-11 04:51:45.525,,dcc7f93f-212d-4cb6-88d7-c415b720f9f9,,,16.16,17.0,128,54
2023-04-11 04:51:45.526,,d8508013-135c-4fd0-bc62-ee20ee75a1dd,,,34.53,35.0,128,54
2023-04-11 04:51:45.539,,ad1ea5db-ecc8-45a2-b537-8458361abeb9,,,35.55,36.0,128,53
2023-04-11 04:51:45.572,,ed6d6c70-8998-45f1-b861-6c1d8c5473f3,,177.73,75.57,76.0,128,52
2023-04-11 04:51:50.725,dHBzPTEwJmludGVydmFsPTU=,,94d139b3-89cc-4375-aa90-2899a89decbf,,,,,
2023-04-11 04:51:50.735,dHBzPTEwJmludGVydmFsPTU=,,55f8f6a3-42b4-4582-ac0e-eb708d6c1128,,,,,
2023-04-11 04:51:50.735,dHBzPTEwJmludGVydmFsPTU=,,271fbcf1-6f3d-49af-addd-ae96ceb59679,,,,,
2023-04-11 04:51:50.739,,271fbcf1-6f3d-49af-addd-ae96ceb59679,,,4.53,5.0,128,53
2023-04-11 04:51:50.745,,55f8f6a3-42b4-4582-ac0e-eb708d6c1128,,,10.43,11.0,128,54
2023-04-11 04:51:50.753,,94d139b3-89cc-4375-aa90-2899a89decbf,,,28.11,29.0,128,52
2023-04-11 04:51:50.762,dHBzPTEwJmludGVydmFsPTU=,,c6afc678-d8e4-44bf-953c-bd2485e4cadc,,,,,
2023-04-11 04:51:50.765,dHBzPTEwJmludGVydmFsPTU=,,5fac4cc9-47cc-47c8-8652-7568847e6ec8,,,,,
2023-04-11 04:51:50.770,dHBzPTEwJmludGVydmFsPTU=,,a7148d44-a8f2-47ad-a8d2-92cf3c907fb6,,,,,
2023-04-11 04:51:50.772,dHBzPTEwJmludGVydmFsPTU=,,34f38aff-a8f0-42d4-af72-7ec2121cea3e,,,,,
2023-04-11 04:51:50.776,dHBzPTEwJmludGVydmFsPTU=,,2df16c13-b108-4b76-a160-0eb6be333e81,,,,,
2023-04-11 04:51:50.779,,c6afc678-d8e4-44bf-953c-bd2485e4cadc,,,16.57,17.0,128,53
2023-04-11 04:51:50.784,,2df16c13-b108-4b76-a160-0eb6be333e81,,,8.26,9.0,128,54
2023-04-11 04:51:50.785,,a7148d44-a8f2-47ad-a8d2-92cf3c907fb6,,,16.13,17.0,128,54
2023-04-11 04:51:50.786,,5fac4cc9-47cc-47c8-8652-7568847e6ec8,,,32.39,33.0,128,54
2023-04-11 04:51:50.787,dHBzPTEwJmludGVydmFsPTU=,,1572d7bc-78c3-47b7-bd35-423710695257,,,,,
2023-04-11 04:51:50.788,,1572d7bc-78c3-47b7-bd35-423710695257,,,1.62,2.0,128,53
2023-04-11 04:51:50.793,,34f38aff-a8f0-42d4-af72-7ec2121cea3e,,,31.17,32.0,128,53
2023-04-11 04:51:50.798,dHBzPTEwJmludGVydmFsPTU=,,70869d42-69cf-4caa-924e-dc35f66e4192,,,,,
2023-04-11 04:51:50.818,,70869d42-69cf-4caa-924e-dc35f66e4192,,,20.38,21.0,128,53
2023-04-11 04:51:59.305,dHBzPTEwJmludGVydmFsPTU=,,c97cc300-4660-4b52-9ada-d4f0ea9e9e04,,,,,
2023-04-11 04:51:59.305,dHBzPTEwJmludGVydmFsPTU=,,c7d862cc-6f87-49f9-b222-9f3416c57f9b,,,,,
2023-04-11 04:51:59.308,dHBzPTEwJmludGVydmFsPTU=,,13dc6218-c164-4bcd-9eb4-dadb062d57a2,,,,,
2023-04-11 04:51:59.327,,13dc6218-c164-4bcd-9eb4-dadb062d57a2,,,19.31,20.0,128,53
2023-04-11 04:51:59.332,,c97cc300-4660-4b52-9ada-d4f0ea9e9e04,,,27.35,28.0,128,53
2023-04-11 04:51:59.339,,c7d862cc-6f87-49f9-b222-9f3416c57f9b,,,34.42,35.0,128,54
2023-04-11 04:51:59.363,dHBzPTEwJmludGVydmFsPTU=,,14900e04-869f-4908-abc4-ea17363e9662,,,,,
2023-04-11 04:51:59.365,dHBzPTEwJmludGVydmFsPTU=,,27a143f4-bfe2-4895-86c3-f145ee9066d1,,,,,
2023-04-11 04:51:59.369,dHBzPTEwJmludGVydmFsPTU=,,e0c31ac3-6e5e-4cda-ac7d-fde1312c95ac,,,,,
2023-04-11 04:51:59.369,dHBzPTEwJmludGVydmFsPTU=,,e9a15348-5154-414c-83bf-2e58a1bba6dc,,,,,
2023-04-11 04:51:59.369,dHBzPTEwJmludGVydmFsPTU=,,72abef19-5c17-43c4-af76-c7485a4cec0d,,,,,
2023-04-11 04:51:59.372,dHBzPTEwJmludGVydmFsPTU=,,4248272a-af72-4b3e-9797-4bf1569dc3f2,,,,,
2023-04-11 04:51:59.373,,27a143f4-bfe2-4895-86c3-f145ee9066d1,,,7.6,8.0,128,53
2023-04-11 04:51:59.379,,14900e04-869f-4908-abc4-ea17363e9662,,,16.25,17.0,128,54
2023-04-11 04:51:59.385,,e0c31ac3-6e5e-4cda-ac7d-fde1312c95ac,,,16.82,17.0,128,54
2023-04-11 04:51:59.385,,e9a15348-5154-414c-83bf-2e58a1bba6dc,,,16.74,17.0,128,54
2023-04-11 04:51:59.387,,72abef19-5c17-43c4-af76-c7485a4cec0d,,,18.27,19.0,128,53
2023-04-11 04:51:59.404,,4248272a-af72-4b3e-9797-4bf1569dc3f2,,,32.29,33.0,128,54
2023-04-11 04:51:59.415,dHBzPTEwJmludGVydmFsPTU=,,9019cd5a-862d-4500-a274-fe33f8227b4d,,,,,
2023-04-11 04:51:59.475,,9019cd5a-862d-4500-a274-fe33f8227b4d,,186.9,80.45,81.0,128,52
2023-04-11 04:52:07.179,dHBzPTEwJmludGVydmFsPTU=,,c96cc40c-886a-4019-86ce-d950e728abe3,,,,,
2023-04-11 04:52:07.180,dHBzPTEwJmludGVydmFsPTU=,,2a28a297-d643-46ae-8b6a-2aebcf1c1f7a,,,,,
2023-04-11 04:52:07.183,dHBzPTEwJmludGVydmFsPTU=,,16db59b3-ac8e-445b-bdb7-c81f5b50b47e,,,,,
2023-04-11 04:52:07.184,,2a28a297-d643-46ae-8b6a-2aebcf1c1f7a,,,5.03,6.0,128,54
2023-04-11 04:52:07.185,,16db59b3-ac8e-445b-bdb7-c81f5b50b47e,,,3.16,4.0,128,54
2023-04-11 04:52:07.187,dHBzPTEwJmludGVydmFsPTU=,,da0e9d70-6684-49f9-ab50-f08f3be0ec57,,,,,
2023-04-11 04:52:07.195,,c96cc40c-886a-4019-86ce-d950e728abe3,,,16.46,17.0,128,52
